Timestamp,Event,Domain,Source
08:58:18 08-04-24,saved,adaco-maschinentechnik.de,aa419.org
08:58:18 08-04-24,saved,apexchemicalslab.com,aa419.org
08:58:18 08-04-24,saved,clean-documents.com,aa419.org
08:58:18 08-04-24,saved,floodedpacks.com,aa419.org
08:58:18 08-04-24,saved,hwrlslogistics.com,aa419.org
08:58:18 08-04-24,saved,mulexcorner.com,aa419.org
08:58:18 08-04-24,saved,statesanabolicstore.com,aa419.org
08:58:18 08-04-24,saved,theoregongolfcart.com,aa419.org
08:58:18 08-04-24,blacklist,mossberg-usa.com,guntab.com
08:58:18 08-04-24,saved,dragonglocks.us,guntab.com
08:58:18 08-04-24,saved,gunsgalleryinc.net,guntab.com
08:58:18 08-04-24,saved,mossberg-store.com,guntab.com
08:58:18 08-04-24,saved,mossberg-usa.com,guntab.com
08:58:18 08-04-24,saved,mossbergarm.com,guntab.com
08:58:18 08-04-24,saved,mossbergarms.com,guntab.com
08:58:18 08-04-24,saved,mossbergarmshop.com,guntab.com
08:58:18 08-04-24,saved,mossbergarmstore.com,guntab.com
08:58:18 08-04-24,saved,mossbergarmsusa.com,guntab.com
08:58:18 08-04-24,saved,mossberggunshop.com,guntab.com
08:58:18 08-04-24,saved,mossberggunshopsusa.com,guntab.com
08:58:18 08-04-24,saved,mossbergusafirearms.com,guntab.com
08:58:18 08-04-24,saved,mossbergusastore.com,guntab.com
08:58:18 08-04-24,saved,mygunrights.me,guntab.com
08:58:18 08-04-24,saved,nightforceopticsusa.com,guntab.com
08:58:18 08-04-24,saved,nolimitgunshop.com,guntab.com
08:58:18 08-04-24,saved,novatofirearms.com,guntab.com
08:58:18 08-04-24,saved,octalgunshop.com,guntab.com
08:58:18 08-04-24,saved,officialmarlinriffles.com,guntab.com
08:58:18 08-04-24,saved,olympusfirearms.com,guntab.com
08:58:18 08-04-24,saved,onemangunshop.com,guntab.com
08:58:18 08-04-24,saved,onetacticalarms.com,guntab.com
08:58:18 08-04-24,saved,opticsandammo.com,guntab.com
08:58:18 08-04-24,saved,outdoorarmshop.com,guntab.com
08:58:18 08-04-24,saved,outdoorhuntingcenter.com,guntab.com
08:58:18 08-04-24,saved,outdoorsandwoodshop.com,guntab.com
08:58:18 08-04-24,saved,outdoorsarmories.com,guntab.com
08:58:18 08-04-24,saved,percussioncaps11.store,guntab.com
08:58:18 08-04-24,saved,precisionreloading.net,guntab.com
08:58:18 08-04-24,saved,premiumammoandfirearms.com,guntab.com
08:58:18 08-04-24,saved,premiumfirearmsandammo.com,guntab.com
08:58:18 08-04-24,saved,premiumsecuritystore.com,guntab.com
08:58:18 08-04-24,saved,primeammoshop.com,guntab.com
08:58:18 08-04-24,saved,primefirearms.net,guntab.com
08:58:18 08-04-24,saved,primepowders.net,guntab.com
08:58:18 08-04-24,saved,primersgunhub.com,guntab.com
08:58:18 08-04-24,saved,primersgunpowder.com,guntab.com
08:58:18 08-04-24,saved,primersstore.com,guntab.com
08:58:18 08-04-24,saved,usaglock.com,guntab.com
08:58:18 08-04-24,redundant,kitten.adorablekittenfarm.com,petscams.com
08:58:18 08-04-24,redundant,puppies.adorablekittenfarm.com,petscams.com
08:58:18 08-04-24,saved,delanelpuppykennel.co.za,petscams.com
08:58:18 08-04-24,saved,diamonddobermanpuppies.com,petscams.com
08:58:18 08-04-24,saved,familyraisedsiamesekittens.com,petscams.com
08:58:18 08-04-24,saved,laradachshund.com,petscams.com
08:58:18 08-04-24,saved,maltipooangels.com,petscams.com
08:58:18 08-04-24,saved,salandspuppies.co.za,petscams.com
08:58:18 08-04-24,saved,bedbathandofficial.shop,scam.directory
08:58:18 08-04-24,saved,zoravip.com,scam.directory
08:58:18 08-04-24,whitelist,maxxfour.com,scamadviser.com
08:58:18 08-04-24,saved,outlet-uk.com,scamadviser.com
09:50:21 08-04-24,dead,1potenzmittel.online,raw
09:50:21 08-04-24,dead,45degreesmarketing.com,raw
09:50:21 08-04-24,dead,9onlyfans.com,raw
09:50:21 08-04-24,dead,acemmarketing.com,raw
09:50:21 08-04-24,dead,adidas.ws,raw
09:50:21 08-04-24,dead,aimarketing-rayne.com,raw
09:50:21 08-04-24,dead,air-delivery.ru,raw
09:50:21 08-04-24,dead,airgunsu.com,raw
09:50:21 08-04-24,dead,aix-bicycle.com,raw
09:50:21 08-04-24,dead,alibabacanada.store,raw
09:50:21 08-04-24,dead,allianzfxinvestment.site,raw
09:50:21 08-04-24,dead,amoustore.com,raw
09:50:21 08-04-24,dead,arichavezsmmanddigitalmarketingservices.org,raw
09:50:21 08-04-24,dead,asukulogistics.com,raw
09:50:21 08-04-24,dead,atosinvestments.com,raw
09:50:21 08-04-24,dead,australiandeliveryservices.com,raw
09:50:21 08-04-24,dead,australianshepherd.dogs.com,raw
09:50:21 08-04-24,dead,aztexporters.com,raw
09:50:21 08-04-24,dead,bclogisticsokc.com,raw
09:50:21 08-04-24,dead,binancesandbox.pro,raw
09:50:21 08-04-24,dead,birdmarketing.agency,raw
09:50:21 08-04-24,dead,bitcoincarclub.com,raw
09:50:21 08-04-24,dead,bitcoincatfi.trading,raw
09:50:21 08-04-24,dead,bitcoinde-aktivieren.com,raw
09:50:21 08-04-24,dead,bitcoinscat.trading,raw
09:50:21 08-04-24,dead,biz-logistic.online,raw
09:50:21 08-04-24,dead,blazer-capital.com,raw
09:50:21 08-04-24,dead,booktoutlet.com,raw
